"annotation_id","annotator","answer","created_at","id","instruction_and_answer","lead_time","question","question_and_answer","question_number","sentiment","task","updated_at"
1,"1","B.","2024-05-15T09:42:03.992461Z",1,"Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B.",59.516,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Andrew is fairer than Martha."". Hypothesis: ""Andrew and Martha can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Andrew is fairer than Martha."". Hypothesis: ""Andrew and Martha can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B.",0,"B","comparative-1","2024-05-15T09:42:03.992497Z"
2,"1","B.","2024-05-15T09:42:11.966857Z",2,"Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: 

B.",7.553,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sandra is duller than Annie."". Hypothesis: ""Sandra and Annie can be compared in terms of how dull they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sandra is duller than Annie."". Hypothesis: ""Sandra and Annie can be compared in terms of how dull they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: 

B.",1,"B","comparative-1","2024-05-15T09:42:11.966885Z"
3,"1","C.","2024-05-15T09:44:45.465667Z",3,"Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",17.985,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Margaret is more clever than Dorothy."". Hypothesis: ""Margaret and Dorothy can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Margaret is more clever than Dorothy."". Hypothesis: ""Margaret and Dorothy can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",2,"C","comparative-1","2024-05-15T09:44:45.465699Z"
4,"1","C.","2024-05-15T09:44:52.797978Z",4,"Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",6.875,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Suzanne is quieter than Alice."". Hypothesis: ""Suzanne and Alice can be compared in terms of how quiet they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Suzanne is quieter than Alice."". Hypothesis: ""Suzanne and Alice can be compared in terms of how quiet they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",3,"C","comparative-1","2024-05-15T09:44:52.798038Z"
5,"1","C.","2024-05-15T10:24:47.901460Z",5,"Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",2394.571,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Dorothy is gloomier than Billy."". Hypothesis: ""Dorothy and Billy can be compared in terms of how gloomy they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Dorothy is gloomier than Billy."". Hypothesis: ""Dorothy and Billy can be compared in terms of how gloomy they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",4,"C","comparative-1","2024-05-15T10:24:47.901497Z"
6,"1","C.","2024-05-15T10:24:52.271051Z",6,"Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",3.683,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Donald is lonlier than Sally."". Hypothesis: ""Donald and Sally can be compared in terms of how lonely they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Donald is lonlier than Sally."". Hypothesis: ""Donald and Sally can be compared in terms of how lonely they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

C.",5,"C","comparative-1","2024-05-15T10:24:52.271081Z"
7,"1","A.","2024-05-15T10:24:58.392383Z",7,"Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

A.",5.797,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Emma is more tired than Matt."". Hypothesis: ""Emma and Matt can be compared in terms of how tired they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Emma is more tired than Matt."". Hypothesis: ""Emma and Matt can be compared in terms of how tired they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

A.",6,"A","comparative-1","2024-05-15T10:24:58.392428Z"
8,"1","C.","2024-05-15T10:25:01.639161Z",8,"Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",2.627,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Matt is more handsome than Al."". Hypothesis: ""Matt and Al can be compared in terms of how handsome they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Matt is more handsome than Al."". Hypothesis: ""Matt and Al can be compared in terms of how handsome they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",7,"C","comparative-1","2024-05-15T10:25:01.639224Z"
9,"1","C.","2024-05-15T10:25:06.560439Z",9,"Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",4.463,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joe is classier than Robin."". Hypothesis: ""Joe and Robin can be compared in terms of how classy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joe is classier than Robin."". Hypothesis: ""Joe and Robin can be compared in terms of how classy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? 
 Answer: 

C.",8,"C","comparative-1","2024-05-15T10:25:06.560490Z"
10,"1","Given the premise ""Sharon is younger than Lisa,"" we can infer that Sharon and Lisa can be compared in terms of how young they are. Therefore, the hypothesis is an entailment of the premise. 

The correct option is: B. entailment","2024-05-15T10:26:02.865020Z",10,"Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

Given the premise ""Sharon is younger than Lisa,"" we can infer that Sharon and Lisa can be compared in terms of how young they are. Therefore, the hypothesis is an entailment of the premise. 

The correct option is: B. entailment",55.609,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sharon is younger than Lisa."". Hypothesis: ""Sharon and Lisa can be compared in terms of how young they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sharon is younger than Lisa."". Hypothesis: ""Sharon and Lisa can be compared in terms of how young they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

Given the premise ""Sharon is younger than Lisa,"" we can infer that Sharon and Lisa can be compared in terms of how young they are. Therefore, the hypothesis is an entailment of the premise. 

The correct option is: B. entailment",9,"B","comparative-1","2024-05-15T10:26:02.865056Z"
