"annotation_id","annotator","answer","created_at","id","instruction_and_answer","label","label_mapping","lead_time","logits","logits_mapped","question","question_and_answer","question_number","sentiment","task","updated_at"
1501,"1","
The premise states that ""Andrew is fairer than Martha."" This implies that there is a basis for comparison between Andrew and Martha in terms of fairness. 

The hypothesis states that ""Andrew and Martha can be compared in terms of how fair they are."" 

Since the premise provides a basis for comparison, the hypothesis is entailed by the premise. 

Therefore, the answer is B.","2024-05-28T15:18:22.505471Z",2001,"{'A': 'neutral', 'B': 'entailment', 'C': 'contradiction'}


The premise states that ""Andrew is fairer than Martha."" This implies that there is a basis for comparison between Andrew and Martha in terms of fairness. 

The hypothesis states that ""Andrew and Martha can be compared in terms of how fair they are."" 

Since the premise provides a basis for comparison, the hypothesis is entailed by the premise. 

Therefore, the answer is B.","entailment","{""A"":""neutral"",""B"":""entailment"",""C"":""contradiction""}",4.491,"{""A"":1.4240339994430542,""B"":0.8029347062110901,""C"":-0.3755151927471161}","{""neutral"":1.4240339994430542,""entailment"":0.8029347062110901,""contradiction"":-0.3755151927471161}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Andrew is fairer than Martha."". Hypothesis: ""Andrew and Martha can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Andrew is fairer than Martha."". Hypothesis: ""Andrew and Martha can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.


The premise states that ""Andrew is fairer than Martha."" This implies that there is a basis for comparison between Andrew and Martha in terms of fairness. 

The hypothesis states that ""Andrew and Martha can be compared in terms of how fair they are."" 

Since the premise provides a basis for comparison, the hypothesis is entailed by the premise. 

Therefore, the answer is B.",1,"B","comparative-1","2024-05-28T15:18:22.505503Z"
1502,"1","
The premise states that ""Sandra is duller than Annie."" This implies that there is a comparison being made between Sandra and Annie in terms of how dull they are. 

Now, let's consider the hypothesis: ""Sandra and Annie can be compared in terms of how dull they are."" 

Since the premise already implies a comparison between Sandra and Annie, the hypothesis is not contradicted by the premise. 

Therefore, the hypothesis is A. neutral. 

Final answer: A.","2024-05-28T15:19:06.337242Z",2002,"{'A': 'neutral', 'B': 'contradiction', 'C': 'entailment'}


The premise states that ""Sandra is duller than Annie."" This implies that there is a comparison being made between Sandra and Annie in terms of how dull they are. 

Now, let's consider the hypothesis: ""Sandra and Annie can be compared in terms of how dull they are."" 

Since the premise already implies a comparison between Sandra and Annie, the hypothesis is not contradicted by the premise. 

Therefore, the hypothesis is A. neutral. 

Final answer: A.","entailment","{""A"":""neutral"",""B"":""contradiction"",""C"":""entailment""}",3.606,"{""A"":1.9029732942581177,""B"":0.25560882687568665,""C"":0.3242195248603821}","{""neutral"":1.9029732942581177,""contradiction"":0.25560882687568665,""entailment"":0.3242195248603821}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sandra is duller than Annie."". Hypothesis: ""Sandra and Annie can be compared in terms of how dull they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sandra is duller than Annie."". Hypothesis: ""Sandra and Annie can be compared in terms of how dull they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.


The premise states that ""Sandra is duller than Annie."" This implies that there is a comparison being made between Sandra and Annie in terms of how dull they are. 

Now, let's consider the hypothesis: ""Sandra and Annie can be compared in terms of how dull they are."" 

Since the premise already implies a comparison between Sandra and Annie, the hypothesis is not contradicted by the premise. 

Therefore, the hypothesis is A. neutral. 

Final answer: A.",2,"A","comparative-1","2024-05-28T15:19:06.337284Z"
1503,"1","
The premise states that ""Margaret is more clever than Dorothy."" This implies that there is a basis for comparison between Margaret and Dorothy in terms of cleverness. 

The hypothesis states that ""Margaret and Dorothy can be compared in terms of how clever they are."" 

Since the premise provides a basis for comparison, the hypothesis is an entailment of the premise. 

Therefore, the correct option is A.","2024-05-28T15:19:08.514790Z",2003,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}


The premise states that ""Margaret is more clever than Dorothy."" This implies that there is a basis for comparison between Margaret and Dorothy in terms of cleverness. 

The hypothesis states that ""Margaret and Dorothy can be compared in terms of how clever they are."" 

Since the premise provides a basis for comparison, the hypothesis is an entailment of the premise. 

Therefore, the correct option is A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",1.788,"{""A"":2.0814266204833984,""B"":0.21197031438350677,""C"":0.5893270969390869}","{""entailment"":2.0814266204833984,""contradiction"":0.21197031438350677,""neutral"":0.5893270969390869}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Margaret is more clever than Dorothy."". Hypothesis: ""Margaret and Dorothy can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Margaret is more clever than Dorothy."". Hypothesis: ""Margaret and Dorothy can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.


The premise states that ""Margaret is more clever than Dorothy."" This implies that there is a basis for comparison between Margaret and Dorothy in terms of cleverness. 

The hypothesis states that ""Margaret and Dorothy can be compared in terms of how clever they are."" 

Since the premise provides a basis for comparison, the hypothesis is an entailment of the premise. 

Therefore, the correct option is A.",3,"A","comparative-1","2024-05-28T15:19:08.514848Z"
1504,"1","
The premise states that ""Suzanne is quieter than Alice."" This implies that there is a basis for comparison between Suzanne and Alice in terms of how quiet they are. 

Therefore, the hypothesis ""Suzanne and Alice can be compared in terms of how quiet they are."" is an entailment of the premise. 

So, the correct option is A.","2024-05-28T15:19:10.692653Z",2004,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}


The premise states that ""Suzanne is quieter than Alice."" This implies that there is a basis for comparison between Suzanne and Alice in terms of how quiet they are. 

Therefore, the hypothesis ""Suzanne and Alice can be compared in terms of how quiet they are."" is an entailment of the premise. 

So, the correct option is A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",1.744,"{""A"":1.7284818887710571,""B"":-0.08241800963878632,""C"":0.5580158233642578}","{""entailment"":1.7284818887710571,""contradiction"":-0.08241800963878632,""neutral"":0.5580158233642578}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Suzanne is quieter than Alice."". Hypothesis: ""Suzanne and Alice can be compared in terms of how quiet they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Suzanne is quieter than Alice."". Hypothesis: ""Suzanne and Alice can be compared in terms of how quiet they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.


The premise states that ""Suzanne is quieter than Alice."" This implies that there is a basis for comparison between Suzanne and Alice in terms of how quiet they are. 

Therefore, the hypothesis ""Suzanne and Alice can be compared in terms of how quiet they are."" is an entailment of the premise. 

So, the correct option is A.",4,"A","comparative-1","2024-05-28T15:19:10.692693Z"
1505,"1","
The premise states that ""Dorothy is gloomier than Billy."" This implies that there is a basis for comparison between Dorothy and Billy in terms of their gloominess. 

The hypothesis states that ""Dorothy and Billy can be compared in terms of how gloomy they are."" This is essentially restating the premise in a different way. 

Therefore, the hypothesis is a restatement of the premise, which means it is an entailment. 

The final answer is C.","2024-05-28T15:19:17.514342Z",2005,"{'A': 'neutral', 'B': 'contradiction', 'C': 'entailment'}


The premise states that ""Dorothy is gloomier than Billy."" This implies that there is a basis for comparison between Dorothy and Billy in terms of their gloominess. 

The hypothesis states that ""Dorothy and Billy can be compared in terms of how gloomy they are."" This is essentially restating the premise in a different way. 

Therefore, the hypothesis is a restatement of the premise, which means it is an entailment. 

The final answer is C.","entailment","{""A"":""neutral"",""B"":""contradiction"",""C"":""entailment""}",3.386,"{""A"":1.547791838645935,""B"":0.7373189330101013,""C"":0.6720733642578125}","{""neutral"":1.547791838645935,""contradiction"":0.7373189330101013,""entailment"":0.6720733642578125}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Dorothy is gloomier than Billy."". Hypothesis: ""Dorothy and Billy can be compared in terms of how gloomy they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Dorothy is gloomier than Billy."". Hypothesis: ""Dorothy and Billy can be compared in terms of how gloomy they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.


The premise states that ""Dorothy is gloomier than Billy."" This implies that there is a basis for comparison between Dorothy and Billy in terms of their gloominess. 

The hypothesis states that ""Dorothy and Billy can be compared in terms of how gloomy they are."" This is essentially restating the premise in a different way. 

Therefore, the hypothesis is a restatement of the premise, which means it is an entailment. 

The final answer is C.",5,"C","comparative-1","2024-05-28T15:19:17.514375Z"
1506,"1","
The premise states that ""Donald is lonelier than Sally."" This implies that there is a comparison being made between Donald and Sally in terms of loneliness. 

Now, let's consider the hypothesis: ""Donald and Sally can be compared in terms of how lonely they are."" 

Since the premise already implies a comparison between Donald and Sally in terms of loneliness, the hypothesis is entailed by the premise. 

Therefore, the correct answer is A.","2024-05-28T15:19:19.544688Z",2006,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}


The premise states that ""Donald is lonelier than Sally."" This implies that there is a comparison being made between Donald and Sally in terms of loneliness. 

Now, let's consider the hypothesis: ""Donald and Sally can be compared in terms of how lonely they are."" 

Since the premise already implies a comparison between Donald and Sally in terms of loneliness, the hypothesis is entailed by the premise. 

Therefore, the correct answer is A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",1.717,"{""A"":1.9813940525054932,""B"":0.1213749423623085,""C"":-0.011573717929422855}","{""entailment"":1.9813940525054932,""contradiction"":0.1213749423623085,""neutral"":-0.011573717929422855}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Donald is lonlier than Sally."". Hypothesis: ""Donald and Sally can be compared in terms of how lonely they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Donald is lonlier than Sally."". Hypothesis: ""Donald and Sally can be compared in terms of how lonely they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.


The premise states that ""Donald is lonelier than Sally."" This implies that there is a comparison being made between Donald and Sally in terms of loneliness. 

Now, let's consider the hypothesis: ""Donald and Sally can be compared in terms of how lonely they are."" 

Since the premise already implies a comparison between Donald and Sally in terms of loneliness, the hypothesis is entailed by the premise. 

Therefore, the correct answer is A.",6,"A","comparative-1","2024-05-28T15:19:19.544732Z"
1507,"1","
The premise states that ""Emma is more tired than Matt."" This implies that there is a comparison being made between Emma and Matt in terms of their tiredness levels. 

Now, let's consider the hypothesis: ""Emma and Matt can be compared in terms of how tired they are."" 

Since the premise already implies a comparison between Emma and Matt's tiredness levels, the hypothesis is consistent with the premise. 

Therefore, the hypothesis is an entailment of the premise. 

The final answer is A.","2024-05-28T15:19:21.575309Z",2007,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}


The premise states that ""Emma is more tired than Matt."" This implies that there is a comparison being made between Emma and Matt in terms of their tiredness levels. 

Now, let's consider the hypothesis: ""Emma and Matt can be compared in terms of how tired they are."" 

Since the premise already implies a comparison between Emma and Matt's tiredness levels, the hypothesis is consistent with the premise. 

Therefore, the hypothesis is an entailment of the premise. 

The final answer is A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",1.47,"{""A"":2.2612814903259277,""B"":-0.17599186301231384,""C"":-0.2734653353691101}","{""entailment"":2.2612814903259277,""contradiction"":-0.17599186301231384,""neutral"":-0.2734653353691101}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Emma is more tired than Matt."". Hypothesis: ""Emma and Matt can be compared in terms of how tired they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Emma is more tired than Matt."". Hypothesis: ""Emma and Matt can be compared in terms of how tired they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.


The premise states that ""Emma is more tired than Matt."" This implies that there is a comparison being made between Emma and Matt in terms of their tiredness levels. 

Now, let's consider the hypothesis: ""Emma and Matt can be compared in terms of how tired they are."" 

Since the premise already implies a comparison between Emma and Matt's tiredness levels, the hypothesis is consistent with the premise. 

Therefore, the hypothesis is an entailment of the premise. 

The final answer is A.",7,"A","comparative-1","2024-05-28T15:19:21.575356Z"
1508,"1","
The premise states that ""Matt is more handsome than Al."" This implies that there is a basis for comparison between Matt and Al in terms of their handsomeness. 

The hypothesis states that ""Matt and Al can be compared in terms of how handsome they are."" 

Since the premise provides a basis for comparison, the hypothesis is not contradicted by the premise. 

Therefore, the hypothesis is A. neutral. 

Final answer: A.","2024-05-28T15:19:22.924971Z",2008,"{'A': 'neutral', 'B': 'contradiction', 'C': 'entailment'}


The premise states that ""Matt is more handsome than Al."" This implies that there is a basis for comparison between Matt and Al in terms of their handsomeness. 

The hypothesis states that ""Matt and Al can be compared in terms of how handsome they are."" 

Since the premise provides a basis for comparison, the hypothesis is not contradicted by the premise. 

Therefore, the hypothesis is A. neutral. 

Final answer: A.","entailment","{""A"":""neutral"",""B"":""contradiction"",""C"":""entailment""}",0.965,"{""A"":1.7223955392837524,""B"":0.39335736632347107,""C"":0.49429476261138916}","{""neutral"":1.7223955392837524,""contradiction"":0.39335736632347107,""entailment"":0.49429476261138916}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Matt is more handsome than Al."". Hypothesis: ""Matt and Al can be compared in terms of how handsome they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Matt is more handsome than Al."". Hypothesis: ""Matt and Al can be compared in terms of how handsome they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.


The premise states that ""Matt is more handsome than Al."" This implies that there is a basis for comparison between Matt and Al in terms of their handsomeness. 

The hypothesis states that ""Matt and Al can be compared in terms of how handsome they are."" 

Since the premise provides a basis for comparison, the hypothesis is not contradicted by the premise. 

Therefore, the hypothesis is A. neutral. 

Final answer: A.",8,"A","comparative-1","2024-05-28T15:19:22.925011Z"
1509,"1","
The premise states that ""Joe is classier than Robin."" This implies that there is a basis for comparison between Joe and Robin in terms of classiness. 

The hypothesis states that ""Joe and Robin can be compared in terms of how classy they are."" 

Since the premise provides a basis for comparison, the hypothesis is entailed by the premise. 

Therefore, the correct option is B.","2024-05-28T15:19:25.474866Z",2009,"{'A': 'contradiction', 'B': 'entailment', 'C': 'neutral'}


The premise states that ""Joe is classier than Robin."" This implies that there is a basis for comparison between Joe and Robin in terms of classiness. 

The hypothesis states that ""Joe and Robin can be compared in terms of how classy they are."" 

Since the premise provides a basis for comparison, the hypothesis is entailed by the premise. 

Therefore, the correct option is B.","entailment","{""A"":""contradiction"",""B"":""entailment"",""C"":""neutral""}",2.052,"{""A"":1.2913432121276855,""B"":0.31883105635643005,""C"":-0.32399335503578186}","{""contradiction"":1.2913432121276855,""entailment"":0.31883105635643005,""neutral"":-0.32399335503578186}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joe is classier than Robin."". Hypothesis: ""Joe and Robin can be compared in terms of how classy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joe is classier than Robin."". Hypothesis: ""Joe and Robin can be compared in terms of how classy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.


The premise states that ""Joe is classier than Robin."" This implies that there is a basis for comparison between Joe and Robin in terms of classiness. 

The hypothesis states that ""Joe and Robin can be compared in terms of how classy they are."" 

Since the premise provides a basis for comparison, the hypothesis is entailed by the premise. 

Therefore, the correct option is B.",9,"B","comparative-1","2024-05-28T15:19:25.474912Z"
1510,"1","
The premise states that ""Sharon is younger than Lisa."" This implies that there is a comparison between Sharon and Lisa in terms of their ages. 

Now, let's consider the hypothesis: ""Sharon and Lisa can be compared in terms of how young they are."" 

Since the premise already implies a comparison between Sharon and Lisa's ages, the hypothesis is entailed by the premise. 

Therefore, the correct option is B. entailment.","2024-05-28T15:19:27.960519Z",2010,"{'A': 'contradiction', 'B': 'entailment', 'C': 'neutral'}


The premise states that ""Sharon is younger than Lisa."" This implies that there is a comparison between Sharon and Lisa in terms of their ages. 

Now, let's consider the hypothesis: ""Sharon and Lisa can be compared in terms of how young they are."" 

Since the premise already implies a comparison between Sharon and Lisa's ages, the hypothesis is entailed by the premise. 

Therefore, the correct option is B. entailment.","entailment","{""A"":""contradiction"",""B"":""entailment"",""C"":""neutral""}",1.343,"{""A"":1.5662628412246704,""B"":0.5356555581092834,""C"":-0.48364394903182983}","{""contradiction"":1.5662628412246704,""entailment"":0.5356555581092834,""neutral"":-0.48364394903182983}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sharon is younger than Lisa."". Hypothesis: ""Sharon and Lisa can be compared in terms of how young they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sharon is younger than Lisa."". Hypothesis: ""Sharon and Lisa can be compared in terms of how young they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant: Let's think step by step.


The premise states that ""Sharon is younger than Lisa."" This implies that there is a comparison between Sharon and Lisa in terms of their ages. 

Now, let's consider the hypothesis: ""Sharon and Lisa can be compared in terms of how young they are."" 

Since the premise already implies a comparison between Sharon and Lisa's ages, the hypothesis is entailed by the premise. 

Therefore, the correct option is B. entailment.",10,"B","comparative-1","2024-05-28T15:19:27.960550Z"
