"annotation_id","annotator","answer","created_at","id","instruction_and_answer","label","label_mapping","lead_time","logits","logits_mapped","question","question_and_answer","question_number","sentiment","task","updated_at"
1424,"1","C. entailment","2024-05-22T17:50:42.401300Z",2001,"{'A': 'contradiction', 'B': 'neutral', 'C': 'entailment'}

C. entailment","entailment","{""A"":""contradiction"",""B"":""neutral"",""C"":""entailment""}",19.987,"{""A"":2.162416696548462,""B"":4.08690881729126,""C"":6.011641979217529}","{""contradiction"":2.162416696548462,""neutral"":4.08690881729126,""entailment"":6.011641979217529}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Andrew is fairer than Martha."". Hypothesis: ""Andrew and Martha can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Andrew is fairer than Martha."". Hypothesis: ""Andrew and Martha can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:

C. entailment",1,"C","comparative-1","2024-05-22T17:50:42.401334Z"
1425,"1","A.","2024-05-22T17:50:44.563000Z",2002,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}

A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",2.022,"{""A"":4.561559200286865,""B"":2.698152542114258,""C"":2.862988233566284}","{""entailment"":4.561559200286865,""contradiction"":2.698152542114258,""neutral"":2.862988233566284}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sandra is duller than Annie."". Hypothesis: ""Sandra and Annie can be compared in terms of how dull they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sandra is duller than Annie."". Hypothesis: ""Sandra and Annie can be compared in terms of how dull they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:

A.",2,"A","comparative-1","2024-05-22T17:50:44.563031Z"
1426,"1","A.","2024-05-22T17:50:49.869992Z",2003,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}

A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",5.166,"{""A"":4.674379348754883,""B"":2.205512523651123,""C"":2.6968541145324707}","{""entailment"":4.674379348754883,""contradiction"":2.205512523651123,""neutral"":2.6968541145324707}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Margaret is more clever than Dorothy."". Hypothesis: ""Margaret and Dorothy can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Margaret is more clever than Dorothy."". Hypothesis: ""Margaret and Dorothy can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:

A.",3,"A","comparative-1","2024-05-22T17:50:49.870021Z"
1427,"1","A.","2024-05-22T17:50:51.895942Z",2004,"{'A': 'entailment', 'B': 'neutral', 'C': 'contradiction'}

A.","entailment","{""A"":""entailment"",""B"":""neutral"",""C"":""contradiction""}",1.89,"{""A"":4.725410461425781,""B"":2.761232376098633,""C"":1.864989995956421}","{""entailment"":4.725410461425781,""neutral"":2.761232376098633,""contradiction"":1.864989995956421}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Suzanne is quieter than Alice."". Hypothesis: ""Suzanne and Alice can be compared in terms of how quiet they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Suzanne is quieter than Alice."". Hypothesis: ""Suzanne and Alice can be compared in terms of how quiet they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ?<|end_of_turn|>GPT4 Correct Assistant:

A.",4,"A","comparative-1","2024-05-22T17:50:51.895986Z"
1428,"1","C.","2024-05-22T17:50:54.552457Z",2005,"{'A': 'neutral', 'B': 'contradiction', 'C': 'entailment'}

C.","entailment","{""A"":""neutral"",""B"":""contradiction"",""C"":""entailment""}",2.522,"{""A"":2.0567269325256348,""B"":4.977441310882568,""C"":5.691341876983643}","{""neutral"":2.0567269325256348,""contradiction"":4.977441310882568,""entailment"":5.691341876983643}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Dorothy is gloomier than Billy."". Hypothesis: ""Dorothy and Billy can be compared in terms of how gloomy they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Dorothy is gloomier than Billy."". Hypothesis: ""Dorothy and Billy can be compared in terms of how gloomy they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:

C.",5,"C","comparative-1","2024-05-22T17:50:54.552481Z"
1429,"1","A.","2024-05-22T17:50:57.781613Z",2006,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}

A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",3.084,"{""A"":4.10180139541626,""B"":2.801997184753418,""C"":2.688491106033325}","{""entailment"":4.10180139541626,""contradiction"":2.801997184753418,""neutral"":2.688491106033325}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Donald is lonlier than Sally."". Hypothesis: ""Donald and Sally can be compared in terms of how lonely they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Donald is lonlier than Sally."". Hypothesis: ""Donald and Sally can be compared in terms of how lonely they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:

A.",6,"A","comparative-1","2024-05-22T17:50:57.781639Z"
1430,"1","C. entailment","2024-05-22T17:51:00.225775Z",2007,"{'A': 'contradiction', 'B': 'neutral', 'C': 'entailment'}

C. entailment","entailment","{""A"":""contradiction"",""B"":""neutral"",""C"":""entailment""}",2.295,"{""A"":2.2619545459747314,""B"":4.248534679412842,""C"":5.489378929138184}","{""contradiction"":2.2619545459747314,""neutral"":4.248534679412842,""entailment"":5.489378929138184}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Emma is more tired than Matt."". Hypothesis: ""Emma and Matt can be compared in terms of how tired they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Emma is more tired than Matt."". Hypothesis: ""Emma and Matt can be compared in terms of how tired they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:

C. entailment",7,"C","comparative-1","2024-05-22T17:51:00.225799Z"
1431,"1","B.","2024-05-22T17:51:01.908717Z",2008,"{'A': 'neutral', 'B': 'entailment', 'C': 'contradiction'}

B.","entailment","{""A"":""neutral"",""B"":""entailment"",""C"":""contradiction""}",1.539,"{""A"":2.024000883102417,""B"":6.405410289764404,""C"":2.112720489501953}","{""neutral"":2.024000883102417,""entailment"":6.405410289764404,""contradiction"":2.112720489501953}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Matt is more handsome than Al."". Hypothesis: ""Matt and Al can be compared in terms of how handsome they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Matt is more handsome than Al."". Hypothesis: ""Matt and Al can be compared in terms of how handsome they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ?<|end_of_turn|>GPT4 Correct Assistant:

B.",8,"B","comparative-1","2024-05-22T17:51:01.908739Z"
1432,"1","C. entailment","2024-05-22T17:51:03.361474Z",2009,"{'A': 'contradiction', 'B': 'neutral', 'C': 'entailment'}

C. entailment","entailment","{""A"":""contradiction"",""B"":""neutral"",""C"":""entailment""}",1.324,"{""A"":2.087496042251587,""B"":4.781966686248779,""C"":5.803702354431152}","{""contradiction"":2.087496042251587,""neutral"":4.781966686248779,""entailment"":5.803702354431152}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joe is classier than Robin."". Hypothesis: ""Joe and Robin can be compared in terms of how classy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joe is classier than Robin."". Hypothesis: ""Joe and Robin can be compared in terms of how classy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ?<|end_of_turn|>GPT4 Correct Assistant:

C. entailment",9,"C","comparative-1","2024-05-22T17:51:03.361504Z"
1433,"1","A.","2024-05-22T17:51:05.010528Z",2010,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}

A.","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",1.503,"{""A"":4.174540996551514,""B"":1.7567110061645508,""C"":2.4324705600738525}","{""entailment"":4.174540996551514,""contradiction"":1.7567110061645508,""neutral"":2.4324705600738525}","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sharon is younger than Lisa."". Hypothesis: ""Sharon and Lisa can be compared in terms of how young they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:","GPT4 Correct User: Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sharon is younger than Lisa."". Hypothesis: ""Sharon and Lisa can be compared in terms of how young they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ?<|end_of_turn|>GPT4 Correct Assistant:

A.",10,"A","comparative-1","2024-05-22T17:51:05.010590Z"
