"annotation_id","annotator","answer","created_at","id","instruction_and_answer","lead_time","question","question_and_answer","question_number","sentiment","task","updated_at"
1,"1","C","2024-05-15T16:11:17.782613Z",1,"Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: 

C",30.468,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Andrew is fairer than Martha."". Hypothesis: ""Andrew and Martha can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Andrew is fairer than Martha."". Hypothesis: ""Andrew and Martha can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: 

C",0,"C","comparative-1","2024-05-15T16:11:17.782641Z"
2,"1","B","2024-05-15T16:12:18.538532Z",2,"Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

B",15.339,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sandra is duller than Annie."". Hypothesis: ""Sandra and Annie can be compared in terms of how dull they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sandra is duller than Annie."". Hypothesis: ""Sandra and Annie can be compared in terms of how dull they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

B",1,"B","comparative-1","2024-05-15T16:12:18.538566Z"
492,"1","The correct answer is A. entailment.

The premise states that Margaret is more clever than Dorothy, which implies that there is a comparison being made between the two individuals in terms of their cleverness. The hypothesis simply reiterates this comparison, and therefore, it logically follows from the premise.","2024-05-15T17:55:49.269049Z",3,"Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: 

The correct answer is A. entailment.

The premise states that Margaret is more clever than Dorothy, which implies that there is a comparison being made between the two individuals in terms of their cleverness. The hypothesis simply reiterates this comparison, and therefore, it logically follows from the premise.",7.557,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Margaret is more clever than Dorothy."". Hypothesis: ""Margaret and Dorothy can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Margaret is more clever than Dorothy."". Hypothesis: ""Margaret and Dorothy can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: 

The correct answer is A. entailment.

The premise states that Margaret is more clever than Dorothy, which implies that there is a comparison being made between the two individuals in terms of their cleverness. The hypothesis simply reiterates this comparison, and therefore, it logically follows from the premise.",2,"A","comparative-1","2024-05-15T17:55:49.269074Z"
493,"1","The correct answer is A. entailment.","2024-05-15T17:55:53.712347Z",4,"Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: 

The correct answer is A. entailment.",11.876999999999999,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Suzanne is quieter than Alice."". Hypothesis: ""Suzanne and Alice can be compared in terms of how quiet they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Suzanne is quieter than Alice."". Hypothesis: ""Suzanne and Alice can be compared in terms of how quiet they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? 
 Answer: 

The correct answer is A. entailment.",3,"A","comparative-1","2024-05-15T17:55:53.712366Z"
494,"1","The correct answer is C. entailment.

The premise states that Dorothy is gloomier than Billy, which implies that there is a comparison being made between Dorothy and Billy in terms of their gloominess. The hypothesis simply states that this comparison is valid, which is logically entailed by the premise.","2024-05-15T17:56:01.386130Z",5,"Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

The correct answer is C. entailment.

The premise states that Dorothy is gloomier than Billy, which implies that there is a comparison being made between Dorothy and Billy in terms of their gloominess. The hypothesis simply states that this comparison is valid, which is logically entailed by the premise.",31.817999999999998,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Dorothy is gloomier than Billy."". Hypothesis: ""Dorothy and Billy can be compared in terms of how gloomy they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Dorothy is gloomier than Billy."". Hypothesis: ""Dorothy and Billy can be compared in terms of how gloomy they are."". Given the premise provided, is the hypothesis: A. neutral or B. contradiction or C. entailment ? 
 Answer: 

The correct answer is C. entailment.

The premise states that Dorothy is gloomier than Billy, which implies that there is a comparison being made between Dorothy and Billy in terms of their gloominess. The hypothesis simply states that this comparison is valid, which is logically entailed by the premise.",4,"C","comparative-1","2024-05-15T17:56:01.386156Z"
10,"1","B","2024-05-15T17:20:21.937802Z",6,"Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: 

B",6.807,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Donald is lonlier than Sally."". Hypothesis: ""Donald and Sally can be compared in terms of how lonely they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Donald is lonlier than Sally."". Hypothesis: ""Donald and Sally can be compared in terms of how lonely they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: 

B",5,"B","comparative-1","2024-05-15T17:20:21.937822Z"
11,"1","The correct answer is B. entailment.","2024-05-15T17:20:56.988784Z",7,"Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: 

The correct answer is B. entailment.",95.773,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Emma is more tired than Matt."". Hypothesis: ""Emma and Matt can be compared in terms of how tired they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Emma is more tired than Matt."". Hypothesis: ""Emma and Matt can be compared in terms of how tired they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? 
 Answer: 

The correct answer is B. entailment.",6,"B","comparative-1","2024-05-15T17:20:56.988806Z"
495,"1","The correct answer is A. entailment.

The premise states that Matt is more handsome than Al, which implies that there is a comparison being made between the two individuals in terms of their handsomeness. The hypothesis simply states that such a comparison is possible, which is logically entailed by the premise.","2024-05-15T17:56:03.442357Z",8,"Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

The correct answer is A. entailment.

The premise states that Matt is more handsome than Al, which implies that there is a comparison being made between the two individuals in terms of their handsomeness. The hypothesis simply states that such a comparison is possible, which is logically entailed by the premise.",10.437999999999999,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Matt is more handsome than Al."". Hypothesis: ""Matt and Al can be compared in terms of how handsome they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Matt is more handsome than Al."". Hypothesis: ""Matt and Al can be compared in terms of how handsome they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? 
 Answer: 

The correct answer is A. entailment.

The premise states that Matt is more handsome than Al, which implies that there is a comparison being made between the two individuals in terms of their handsomeness. The hypothesis simply states that such a comparison is possible, which is logically entailed by the premise.",7,"A","comparative-1","2024-05-15T17:56:03.442383Z"
496,"1","B","2024-05-15T17:56:04.716087Z",9,"Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B",11.782,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joe is classier than Robin."". Hypothesis: ""Joe and Robin can be compared in terms of how classy they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joe is classier than Robin."". Hypothesis: ""Joe and Robin can be compared in terms of how classy they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B",8,"B","comparative-1","2024-05-15T17:56:04.716109Z"
3,"1","B","2024-05-15T16:18:04.066473Z",10,"Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B",6.079,"Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sharon is younger than Lisa."". Hypothesis: ""Sharon and Lisa can be compared in terms of how young they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: ","Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sharon is younger than Lisa."". Hypothesis: ""Sharon and Lisa can be compared in terms of how young they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? 
 Answer: 

B",9,"B","comparative-1","2024-05-15T16:18:04.066501Z"
