"annotation_id","annotator","answer","created_at","id","instruction_and_answer","label","label_mapping","lead_time","logits","logits_mapped","question","question_and_answer","question_number","sentiment","task","updated_at"
1001,"1","C","2024-05-23T07:47:47.121213Z",1501,"{'A': 'contradiction', 'B': 'neutral', 'C': 'entailment'}

C","entailment","{""A"":""contradiction"",""B"":""neutral"",""C"":""entailment""}",2.591,"{""A"":-10000000000.0,""B"":41.041664123535156,""C"":42.5}","{""contradiction"":-10000000000.0,""neutral"":41.041664123535156,""entailment"":42.5}","[{""role"":""user"",""content"":""Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: \""Andrew is fairer than Martha.\"". Hypothesis: \""Andrew and Martha can be compared in terms of how fair they are.\"". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? \n Answer:""}]","[{'role': 'user', 'content': 'Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Andrew is fairer than Martha."". Hypothesis: ""Andrew and Martha can be compared in terms of how fair they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? \n Answer:'}]

C",1,"C","comparative-1","2024-05-23T07:47:47.121261Z"
1002,"1","The correct answer is C. entailment.

The premise states that Sandra is duller than Annie, which implies that Sandra's dullness can be compared to Annie's dullness. The hypothesis simply states that this comparison is possible, which is logically entailed by the premise.","2024-05-23T07:47:50.660043Z",1502,"{'A': 'contradiction', 'B': 'neutral', 'C': 'entailment'}

The correct answer is C. entailment.

The premise states that Sandra is duller than Annie, which implies that Sandra's dullness can be compared to Annie's dullness. The hypothesis simply states that this comparison is possible, which is logically entailed by the premise.","entailment","{""A"":""contradiction"",""B"":""neutral"",""C"":""entailment""}",3.005,"{""A"":-10000000000.0,""B"":-10000000000.0,""C"":41.041664123535156}","{""contradiction"":-10000000000.0,""neutral"":-10000000000.0,""entailment"":41.041664123535156}","[{""role"":""user"",""content"":""Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: \""Sandra is duller than Annie.\"". Hypothesis: \""Sandra and Annie can be compared in terms of how dull they are.\"". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? \n Answer:""}]","[{'role': 'user', 'content': 'Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sandra is duller than Annie."". Hypothesis: ""Sandra and Annie can be compared in terms of how dull they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? \n Answer:'}]

The correct answer is C. entailment.

The premise states that Sandra is duller than Annie, which implies that Sandra's dullness can be compared to Annie's dullness. The hypothesis simply states that this comparison is possible, which is logically entailed by the premise.",2,"C","comparative-1","2024-05-23T07:47:50.660090Z"
1003,"1","B","2024-05-23T07:47:53.466082Z",1503,"{'A': 'entailment', 'B': 'contradiction', 'C': 'neutral'}

B","entailment","{""A"":""entailment"",""B"":""contradiction"",""C"":""neutral""}",2.261,"{""A"":40.83333206176758,""B"":41.041664123535156,""C"":-10000000000.0}","{""entailment"":40.83333206176758,""contradiction"":41.041664123535156,""neutral"":-10000000000.0}","[{""role"":""user"",""content"":""Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: \""Margaret is more clever than Dorothy.\"". Hypothesis: \""Margaret and Dorothy can be compared in terms of how clever they are.\"". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? \n Answer:""}]","[{'role': 'user', 'content': 'Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Margaret is more clever than Dorothy."". Hypothesis: ""Margaret and Dorothy can be compared in terms of how clever they are."". Given the premise provided, is the hypothesis: A. entailment or B. contradiction or C. neutral ? \n Answer:'}]

B",3,"B","comparative-1","2024-05-23T07:47:53.466130Z"
1004,"1","B","2024-05-23T07:47:58.394526Z",1504,"{'A': 'neutral', 'B': 'entailment', 'C': 'contradiction'}

B","entailment","{""A"":""neutral"",""B"":""entailment"",""C"":""contradiction""}",4.508,"{""A"":-10000000000.0,""B"":45.416664123535156,""C"":-10000000000.0}","{""neutral"":-10000000000.0,""entailment"":45.416664123535156,""contradiction"":-10000000000.0}","[{""role"":""user"",""content"":""Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: \""Suzanne is quieter than Alice.\"". Hypothesis: \""Suzanne and Alice can be compared in terms of how quiet they are.\"". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? \n Answer:""}]","[{'role': 'user', 'content': 'Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Suzanne is quieter than Alice."". Hypothesis: ""Suzanne and Alice can be compared in terms of how quiet they are."". Given the premise provided, is the hypothesis: A. neutral or B. entailment or C. contradiction ? \n Answer:'}]

B",4,"B","comparative-1","2024-05-23T07:47:58.394557Z"
1005,"1","The correct answer is A. entailment.

The premise states that Dorothy is gloomier than Billy, which implies that there is a comparison being made between the two individuals in terms of their gloominess. The hypothesis also states that Dorothy and Billy can be compared in terms of how gloomy they are, which is a logical consequence of the premise. Therefore, the hypothesis is an entailment of the premise.","2024-05-23T07:48:05.001133Z",1505,"{'A': 'entailment', 'B': 'neutral', 'C': 'contradiction'}

The correct answer is A. entailment.

The premise states that Dorothy is gloomier than Billy, which implies that there is a comparison being made between the two individuals in terms of their gloominess. The hypothesis also states that Dorothy and Billy can be compared in terms of how gloomy they are, which is a logical consequence of the premise. Therefore, the hypothesis is an entailment of the premise.","entailment","{""A"":""entailment"",""B"":""neutral"",""C"":""contradiction""}",6.13,"{""A"":-10000000000.0,""B"":41.041664123535156,""C"":40.416664123535156}","{""entailment"":-10000000000.0,""neutral"":41.041664123535156,""contradiction"":40.416664123535156}","[{""role"":""user"",""content"":""Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: \""Dorothy is gloomier than Billy.\"". Hypothesis: \""Dorothy and Billy can be compared in terms of how gloomy they are.\"". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? \n Answer:""}]","[{'role': 'user', 'content': 'Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Dorothy is gloomier than Billy."". Hypothesis: ""Dorothy and Billy can be compared in terms of how gloomy they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? \n Answer:'}]

The correct answer is A. entailment.

The premise states that Dorothy is gloomier than Billy, which implies that there is a comparison being made between the two individuals in terms of their gloominess. The hypothesis also states that Dorothy and Billy can be compared in terms of how gloomy they are, which is a logical consequence of the premise. Therefore, the hypothesis is an entailment of the premise.",5,"A","comparative-1","2024-05-23T07:48:05.001162Z"
1006,"1","B","2024-05-23T07:48:07.808696Z",1506,"{'A': 'contradiction', 'B': 'entailment', 'C': 'neutral'}

B","entailment","{""A"":""contradiction"",""B"":""entailment"",""C"":""neutral""}",2.279,"{""A"":-10000000000.0,""B"":43.95833206176758,""C"":-10000000000.0}","{""contradiction"":-10000000000.0,""entailment"":43.95833206176758,""neutral"":-10000000000.0}","[{""role"":""user"",""content"":""Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: \""Donald is lonlier than Sally.\"". Hypothesis: \""Donald and Sally can be compared in terms of how lonely they are.\"". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? \n Answer:""}]","[{'role': 'user', 'content': 'Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Donald is lonlier than Sally."". Hypothesis: ""Donald and Sally can be compared in terms of how lonely they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? \n Answer:'}]

B",6,"B","comparative-1","2024-05-23T07:48:07.808740Z"
1007,"1","The correct answer is A. entailment.","2024-05-23T07:48:10.547921Z",1507,"{'A': 'entailment', 'B': 'neutral', 'C': 'contradiction'}

The correct answer is A. entailment.","entailment","{""A"":""entailment"",""B"":""neutral"",""C"":""contradiction""}",2.345,"{""A"":41.25,""B"":41.875,""C"":41.45833206176758}","{""entailment"":41.25,""neutral"":41.875,""contradiction"":41.45833206176758}","[{""role"":""user"",""content"":""Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: \""Emma is more tired than Matt.\"". Hypothesis: \""Emma and Matt can be compared in terms of how tired they are.\"". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? \n Answer:""}]","[{'role': 'user', 'content': 'Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Emma is more tired than Matt."". Hypothesis: ""Emma and Matt can be compared in terms of how tired they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? \n Answer:'}]

The correct answer is A. entailment.",7,"A","comparative-1","2024-05-23T07:48:10.547953Z"
1008,"1","A. entailment","2024-05-23T07:48:13.085957Z",1508,"{'A': 'entailment', 'B': 'neutral', 'C': 'contradiction'}

A. entailment","entailment","{""A"":""entailment"",""B"":""neutral"",""C"":""contradiction""}",2.033,"{""A"":41.041664123535156,""B"":41.25,""C"":41.25}","{""entailment"":41.041664123535156,""neutral"":41.25,""contradiction"":41.25}","[{""role"":""user"",""content"":""Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: \""Matt is more handsome than Al.\"". Hypothesis: \""Matt and Al can be compared in terms of how handsome they are.\"". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? \n Answer:""}]","[{'role': 'user', 'content': 'Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Matt is more handsome than Al."". Hypothesis: ""Matt and Al can be compared in terms of how handsome they are."". Given the premise provided, is the hypothesis: A. entailment or B. neutral or C. contradiction ? \n Answer:'}]

A. entailment",8,"A","comparative-1","2024-05-23T07:48:13.086007Z"
1009,"1","B","2024-05-23T07:48:15.488439Z",1509,"{'A': 'contradiction', 'B': 'entailment', 'C': 'neutral'}

B","entailment","{""A"":""contradiction"",""B"":""entailment"",""C"":""neutral""}",1.917,"{""A"":-10000000000.0,""B"":42.70833206176758,""C"":-10000000000.0}","{""contradiction"":-10000000000.0,""entailment"":42.70833206176758,""neutral"":-10000000000.0}","[{""role"":""user"",""content"":""Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: \""Joe is classier than Robin.\"". Hypothesis: \""Joe and Robin can be compared in terms of how classy they are.\"". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? \n Answer:""}]","[{'role': 'user', 'content': 'Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Joe is classier than Robin."". Hypothesis: ""Joe and Robin can be compared in terms of how classy they are."". Given the premise provided, is the hypothesis: A. contradiction or B. entailment or C. neutral ? \n Answer:'}]

B",9,"B","comparative-1","2024-05-23T07:48:15.488488Z"
1010,"1","The correct answer is C. entailment.","2024-05-23T07:48:18.412312Z",1510,"{'A': 'contradiction', 'B': 'neutral', 'C': 'entailment'}

The correct answer is C. entailment.","entailment","{""A"":""contradiction"",""B"":""neutral"",""C"":""entailment""}",2.271,"{""A"":-10000000000.0,""B"":41.25,""C"":42.08333206176758}","{""contradiction"":-10000000000.0,""neutral"":41.25,""entailment"":42.08333206176758}","[{""role"":""user"",""content"":""Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: \""Sharon is younger than Lisa.\"". Hypothesis: \""Sharon and Lisa can be compared in terms of how young they are.\"". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? \n Answer:""}]","[{'role': 'user', 'content': 'Please read the multiple-choice question below carefully and select ONE of the listed options and only give a single letter. Premise: ""Sharon is younger than Lisa."". Hypothesis: ""Sharon and Lisa can be compared in terms of how young they are."". Given the premise provided, is the hypothesis: A. contradiction or B. neutral or C. entailment ? \n Answer:'}]

The correct answer is C. entailment.",10,"C","comparative-1","2024-05-23T07:48:18.412346Z"
